species;original.name;section;mean;weighted_squaredSEM;Ncyt;Culm.length.mp;Culm.length.1.4;Leaf.width.mp;Leaf.width.1.4;Utricle.length.mp;Utricle.length.1.4;LI.length.mp;LI.length.1.4;TI.length.mp;TI.length.1.4;Samples_bioclim;bio1_Mean;bio2_Mean;bio3_Mean;bio4_Mean;bio5_Mean;bio6_Mean;bio7_Mean;bio8_Mean;bio9_Mean;bio10_Mean;bio11_Mean;bio12_Mean;bio13_Mean;bio14_Mean;bio15_Mean;bio16_Mean;bio17_Mean;bio18_Mean;bio19_Mean;squaredSEM_bioclim1;squaredSEM_bioclim2;squaredSEM_bioclim3;squaredSEM_bioclim4;squaredSEM_bioclim5;squaredSEM_bioclim6;squaredSEM_bioclim7;squaredSEM_bioclim8;squaredSEM_bioclim9;squaredSEM_bioclim10;squaredSEM_bioclim11;squaredSEM_bioclim12;squaredSEM_bioclim13;squaredSEM_bioclim14;squaredSEM_bioclim15;squaredSEM_bioclim16;squaredSEM_bioclim17;squaredSEM_bioclim18;squaredSEM_bioclim19
Carex albicans var. emmonsii;Carex_albicans_var_emmonsii|DEL|spm00000699;Acrocystis;40;22.38064686;1;27.5;8.75;1.65;0.425;2.8;0.25;4.5;1.25;6.75;0.875;167;106.6407186;108.508982;30.2754491;8665.502994;285.3952096;-67.15568862;352.5508982;151.9820359;52.76646707;215.7305389;-7.51497006;1092.035928;113.7245509;70.52694611;14.65868263;316.7964072;230.3113772;292.2634731;250.239521;816.0990549;201.2634731;14.53812856;515974.8178;566.4934709;1235.40935;650.4416709;7496.463531;6956.722242;556.1618931;1286.528389;16265.15533;183.5863213;261.2869201;54.45508982;1244.416132;2165.336195;1015.207272;3771.894091
Carex communis var. communis;Carex_communis_var_communis|QUE|NCBI_Waterway_3720;Acrocystis;28;22.38064686;1;40;10;3.4;0.8;3.2;0.25;7.5;1.25;9.3;3.1;259;71.02702703;111.7142857;28.36679537;9669.722008;264.6061776;-125.3320463;389.9382239;149.8918919;-28.13899614;190.5714286;-59.1003861;1006.150579;107.3050193;58.54440154;19.70656371;305;193.7722008;287.7451737;208;1040.87136;149.7707641;16.08586992;1265319.504;677.2396516;2470.687768;1389.755859;4238.60067;5132.934094;615.1218162;2076.455;37994.53925;279.4608662;461.3420131;139.215887;2093.937984;4182.409147;1521.012331;5469.465116
Carex deflexa var. deflexa;Carex_deflexa_var_deflexa|BRC|spm00002125;Acrocystis;25.75;2.797580858;8;18;6.5;1.75;0.425;2.7;0.2;8;1;7.2;2.05;167;13.76047904;109.1017964;24.38922156;11309.21557;227.3173653;-213.8023952;441.1197605;123.6287425;-92.91017964;152.0658683;-138.8143713;790.2035928;99.2754491;36.34730539;35.54491018;280.0419162;124.1317365;264.8143713;139.6107784;1236.96638;231.1642739;7.82952168;3263035.013;722.4589135;3567.978789;3439.853041;3959.837241;6889.142486;545.0980449;2967.140033;68150.86191;466.5983695;592.6738331;223.8880312;4232.172931;5463.31989;2695.188226;8485.865666
Carex fritschii;Carex_fritschii|HUN|spm00002174;Acrocystis;30;5.595161715;4;52.5;6.25;3;0.5;3.75;0.375;8.5;1.75;20;2.5;15;94.06666667;92.73333333;31.86666667;6972.4;249.6;-37;286.6;181.8666667;17;181.8666667;2.666666667;706.8666667;86.86666667;35.73333333;30.86666667;250.2;116;250.2;118.7333333;95.97666493;20.04798047;2.115187622;295551.6841;70.62170207;292.3580258;316.8458004;210.1257009;454.6202237;51.8208652;239.1188234;9402.860199;161.7032621;35.19245722;13.127247;1221.128105;369.8074294;597.4804724;1054.211408
Carex glacialis;Carex_glacialis|NFL|spm00001488;Acrocystis;34;2.238064686;10;9;3;0.75;0.125;2.25;0.125;6;1;6;1;895;-28.30167598;75.57541899;24.17318436;8836.013408;143.3653631;-183.8223464;327.1877095;53.48938547;-78.30055866;87.19441341;-136.7765363;697.1541899;88.56759777;34.82793296;33.78100559;237.9810056;115.2134078;199.1206704;163.6067039;2398.163923;323.2938023;30.29771412;14056716.22;1069.035264;10811.12612;14396.79694;2531.80274;11902.48339;566.5952708;8687.028308;165685.2469;2000.478367;522.8227088;224.9631735;14721.72783;5758.810111;5626.475355;15696.05991
Carex inops subsp. heliophila;Carex_inops_ssp_heliophila||NCBI_Marriott_2795;Acrocystis;37;5.595161715;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;289;70.55017301;136.1868512;32.13148789;9913.737024;281.9930796;-140.7612457;422.7543253;175.3529412;-39.39446367;194.4775087;-61.11072664;614.1141869;92.74740484;19.09688581;49.16955017;249.6574394;66.48442907;234.3806228;72.47750865;1330.040009;422.6038543;40.18403979;2865689.563;1288.631896;2382.758771;1762.554018;2136.180556;3241.732747;1506.201749;2249.605753;38981.77511;531.3977797;96.18502499;155.6899029;4178.59405;1060.327014;4131.243512;2027.840638
Carex lucorum;Carex_lucorum|NCA|spm00001736;Acrocystis;40;22.38064686;1;31;12;2.15;0.725;3.65;0.475;12.5;1.25;15.25;3.625;55;61.70909091;108.9636364;27.50909091;9744.145455;257.9818182;-132.3272727;390.3090909;114.4363636;-19.98181818;181.8727273;-68.78181818;931.8;101.2909091;54.23636364;18.43636364;282.4727273;180.2727273;249.7090909;207.5090909;403.173064;119.7393939;7.661952862;973007.1266;415.3885522;1249.520539;1304.550842;5881.361616;7419.277441;280.8538721;972.9144781;32320.9037;356.247138;323.8505051;36.50976431;2844.809428;2470.868687;670.6175084;6367.624916
Carex microrhyncha;Carex_microrhyncha|KAN|spm00004537;Acrocystis;32;11.19032343;2;NA;NA;2;0.25;2.75;0.25;5.5;0.75;7.5;1.25;7;155.5714286;122.4285714;38.42857143;7436.857143;319.8571429;-16.57142857;336.4285714;215.8571429;61.85714286;247.5714286;55.57142857;918.5714286;125.4285714;40.42857143;38.28571429;318.7142857;136.8571429;263.1428571;141.7142857;205.664282;42.95995815;4.532544904;633325.0373;151.3322187;626.4814839;678.9552867;450.2693591;974.1861937;111.0447111;512.3974787;20148.98614;346.5069901;75.41240834;28.12981501;2616.703083;792.4444915;1280.315298;2259.024446
Carex montana;Carex_montana|YUG|spm00000543;Acrocystis;38;1.598617633;14;25;7.5;1.75;0.125;3.75;0.375;6.5;0.75;15;2.5;777;74.17889318;82.52252252;30.02960103;6853.384813;222.2175032;-52.60875161;274.8262548;117.2921493;35.51222651;162.0592021;-13.14028314;811.7310167;92.67953668;46.11583012;22.56499356;258.6911197;152.7310167;224.4401544;189.1377091;582.6006879;212.9276493;26.37154533;2719485.987;703.3276314;2024.140542;2845.084464;3312.258611;4967.634193;431.9655628;1612.739316;72508.00101;914.7154699;352.7803805;90.13011318;7312.667357;3858.227812;3153.860138;8062.407558
Carex nigromarginata;Carex_nigromarginata|ALA|spm00001121;Acrocystis;34;22.38064686;1;17.5;4.75;2.7;0.65;3.2;0.2;5.5;0.75;7.65;1.175;181;133.2099448;125.480663;35.42541436;8131.928177;307.6022099;-44.19889503;351.801105;167.5856354;91.00552486;234.9226519;24.6519337;1192.20442;127.2486188;73.82320442;15.74585635;351.6961326;244.7900552;310.6685083;283.0497238;814.722345;143.4065684;24.85690608;1067556.389;356.3186618;1680.437999;952.2824432;4286.077348;8502.394414;391.9495396;1694.128177;27241.77465;526.1989564;161.2796808;57.72394107;3221.090485;1436.322345;1373.289503;5796.058625
